Band Number, Nominal Center Wavelength (int), Center Wavelength, Width (FWHM), Solar Irradiance, Rayleigh Optical Thickness, Depolarization Factor, k_oz (Ozone), k_no2 (NO2)
, nm, nm, nm, W/m^2/um/sr,,,,
190, 707,     706.833,       4.980,    1407.516,   3.496E-02,   2.781E-02,   1.934E-02,   5.156E-21
191, 708,     708.089,       5.019,    1402.952,   3.471E-02,   2.781E-02,   1.900E-02,   5.111E-21
192, 709,     709.337,       5.021,    1396.922,   3.446E-02,   2.781E-02,   1.868E-02,   4.920E-21
193, 711,     710.581,       4.953,    1391.238,   3.422E-02,   2.780E-02,   1.842E-02,   4.776E-21
194, 712,     711.826,       4.984,    1384.870,   3.398E-02,   2.780E-02,   1.820E-02,   4.601E-21
195, 713,     713.068,       4.977,    1379.076,   3.374E-02,   2.780E-02,   1.804E-02,   4.294E-21
196, 714,     714.316,       5.016,    1373.723,   3.350E-02,   2.780E-02,   1.788E-02,   3.751E-21
197, 717,     716.817,       4.968,    1361.404,   3.303E-02,   2.779E-02,   1.733E-02,   2.447E-21
198, 719,     719.298,       4.998,    1347.165,   3.257E-02,   2.779E-02,   1.625E-02,   1.823E-21
199, 722,     721.800,       4.996,    1342.189,   3.212E-02,   2.778E-02,   1.496E-02,   1.858E-21
200, 724,     724.303,       5.018,    1343.044,   3.167E-02,   2.778E-02,   1.391E-02,   1.678E-21
201, 727,     726.796,       4.997,    1333.853,   3.124E-02,   2.777E-02,   1.304E-02,   1.167E-21
202, 729,     729.299,       4.990,    1320.799,   3.081E-02,   2.777E-02,   1.220E-02,   8.984E-22
203, 732,     731.790,       4.993,    1317.235,   3.038E-02,   2.776E-02,   1.153E-02,   9.392E-22
204, 734,     734.281,       5.014,    1314.368,   2.997E-02,   2.776E-02,   1.114E-02,   1.157E-21
205, 737,     736.791,       4.998,    1301.961,   2.956E-02,   2.775E-02,   1.096E-02,   1.301E-21
206, 739,     739.287,       5.001,    1283.219,   2.916E-02,   2.775E-02,   1.090E-02,   1.303E-21
207, 741,     740.535,       4.981,    1277.051,   2.897E-02,   2.775E-02,   1.093E-02,   1.339E-21
208, 742,     741.785,       5.021,    1273.714,   2.877E-02,   2.774E-02,   1.103E-02,   1.496E-21
209, 743,     743.046,       5.003,    1274.845,   2.857E-02,   2.774E-02,   1.119E-02,   1.813E-21
210, 744,     744.286,       5.004,    1276.900,   2.838E-02,   2.774E-02,   1.137E-02,   2.156E-21
211, 746,     745.534,       4.995,    1278.410,   2.819E-02,   2.774E-02,   1.153E-02,   2.323E-21
212, 747,     746.789,       5.005,    1277.258,   2.800E-02,   2.774E-02,   1.159E-02,   2.205E-21
213, 748,     748.041,       5.009,    1272.917,   2.781E-02,   2.773E-02,   1.150E-02,   1.877E-21
214, 749,     749.279,       5.016,    1267.470,   2.762E-02,   2.773E-02,   1.122E-02,   1.554E-21
215, 751,     750.540,       4.991,    1261.998,   2.744E-02,   2.773E-02,   1.074E-02,   1.390E-21
216, 752,     751.792,       5.031,    1258.656,   2.725E-02,   2.773E-02,   1.013E-02,   1.397E-21
217, 753,     753.042,       5.008,    1256.878,   2.707E-02,   2.773E-02,   9.483E-03,   1.443E-21
218, 754,     754.294,       5.006,    1255.090,   2.689E-02,   2.772E-02,   8.865E-03,   1.420E-21
219, 756,     755.542,       5.006,    1251.652,   2.671E-02,   2.772E-02,   8.327E-03,   1.307E-21
220, 757,     756.802,       5.012,    1247.816,   2.654E-02,   2.772E-02,   7.887E-03,   1.120E-21
221, 758,     758.051,       5.020,    1244.076,   2.636E-02,   2.772E-02,   7.536E-03,   8.962E-22
222, 759,     759.299,       5.023,    1240.969,   2.619E-02,   2.771E-02,   7.263E-03,   6.952E-22
223, 761,     760.558,       4.967,    1239.256,   2.601E-02,   2.771E-02,   7.046E-03,   5.664E-22
224, 762,     761.802,       5.008,    1237.281,   2.584E-02,   2.771E-02,   6.870E-03,   5.311E-22
225, 763,     763.060,       5.052,    1232.202,   2.567E-02,   2.771E-02,   6.729E-03,   5.616E-22
226, 764,     764.310,       5.028,    1224.904,   2.550E-02,   2.771E-02,   6.613E-03,   6.061E-22
227, 766,     765.557,       4.976,    1216.790,   2.534E-02,   2.770E-02,   6.524E-03,   6.187E-22
228, 767,     766.815,       5.029,    1210.561,   2.517E-02,   2.770E-02,   6.466E-03,   5.747E-22
229, 768,     768.071,       5.031,    1207.074,   2.500E-02,   2.770E-02,   6.448E-03,   4.880E-22
230, 769,     769.326,       5.007,    1205.065,   2.484E-02,   2.770E-02,   6.482E-03,   3.905E-22
231, 771,     770.564,       4.982,    1204.070,   2.468E-02,   2.770E-02,   6.585E-03,   3.156E-22
